frame,label,score,x1,y1,x2,y2,cx,cy,patch
0,RED,125.522705078125,384,176,448,240,416,208,64
0,RED,59.02113723754883,384,304,448,368,416,336,64
0,GREEN,46.09394073486328,304,256,368,320,336,288,64
0,GREEN,21.46938133239746,208,288,272,352,240,320,64
0,BLUE,64.67382049560547,304,176,368,240,336,208,64
1,RED,125.27836608886719,384,176,448,240,416,208,64
1,RED,58.69486999511719,384,304,448,368,416,336,64
1,GREEN,45.94657897949219,304,256,368,320,336,288,64
1,GREEN,21.35194969177246,208,288,272,352,240,320,64
1,BLUE,64.51513671875,304,176,368,240,336,208,64
2,RED,124.66820526123047,384,176,448,240,416,208,64
2,RED,58.856929779052734,384,304,448,368,416,336,64
2,GREEN,45.57338333129883,304,256,368,320,336,288,64
2,GREEN,21.129146575927734,208,288,272,352,240,320,64
2,BLUE,63.95790481567383,304,176,368,240,336,208,64
3,RED,125.12358093261719,384,176,448,240,416,208,64
3,RED,58.95204544067383,384,304,448,368,416,336,64
3,GREEN,45.91298294067383,304,256,368,320,336,288,64
3,GREEN,21.276363372802734,208,288,272,352,240,320,64
3,BLUE,64.11322784423828,304,176,368,240,336,208,64
4,RED,125.1952133178711,384,176,448,240,416,208,64
4,RED,58.780025482177734,384,304,448,368,416,336,64
4,GREEN,45.44105911254883,304,256,368,320,336,288,64
4,GREEN,21.05405044555664,208,288,272,352,240,320,64
4,BLUE,63.876705169677734,304,176,368,240,336,208,64
5,RED,126.013916015625,384,176,448,240,416,208,64
5,RED,59.12626647949219,384,304,448,368,416,336,64
5,GREEN,46.09418487548828,304,256,368,320,336,288,64
5,GREEN,21.569528579711914,208,288,272,352,240,320,64
5,BLUE,64.23710632324219,304,176,368,240,336,208,64
6,RED,125.5511703491211,384,176,448,240,416,208,64
6,RED,59.04887390136719,384,304,448,368,416,336,64
6,GREEN,45.43046569824219,304,256,368,320,336,288,64
6,GREEN,21.257614135742188,208,288,272,352,240,320,64
6,BLUE,64.07260131835938,304,176,368,240,336,208,64
7,RED,125.97587585449219,384,176,448,240,416,208,64
7,RED,59.25434112548828,384,304,448,368,416,336,64
7,GREEN,46.28324890136719,304,256,368,320,336,288,64
7,GREEN,21.502975463867188,208,288,272,352,240,320,64
7,BLUE,64.13261413574219,304,176,368,240,336,208,64
8,RED,125.548828125,384,176,448,240,416,208,64
8,RED,58.94003677368164,384,304,448,368,416,336,64
8,GREEN,45.82211685180664,304,256,368,320,336,288,64
8,GREEN,21.236032485961914,208,288,272,352,240,320,64
8,BLUE,64.03461456298828,304,176,368,240,336,208,64
9,RED,125.6806640625,384,176,448,240,416,208,64
9,RED,58.977535247802734,384,304,448,368,416,336,64
9,GREEN,46.02402114868164,304,256,368,320,336,288,64
9,GREEN,21.802536010742188,208,288,272,352,240,320,64
9,BLUE,64.05097198486328,304,176,368,240,336,208,64
10,RED,125.31967163085938,384,176,448,240,416,208,64
10,RED,58.74296569824219,384,304,448,368,416,336,64
10,GREEN,45.71908950805664,304,256,368,320,336,288,64
10,GREEN,21.314010620117188,208,288,272,352,240,320,64
10,BLUE,64.06356811523438,304,176,368,240,336,208,64
11,RED,126.0018539428711,384,176,448,240,416,208,64
11,RED,58.70814895629883,384,304,448,368,416,336,64
11,GREEN,46.47270202636719,304,256,368,320,336,288,64
11,GREEN,21.484128952026367,208,288,272,352,240,320,64
11,BLUE,64.29306030273438,304,176,368,240,336,208,64
12,RED,125.70146179199219,384,176,448,240,416,208,64
12,RED,58.65922546386719,384,304,448,368,416,336,64
12,GREEN,46.14731216430664,304,256,368,320,336,288,64
12,GREEN,21.37240982055664,208,272,272,336,240,304,64
12,BLUE,64.33134460449219,304,176,368,240,336,208,64
13,RED,125.93905639648438,384,176,448,240,416,208,64
13,RED,58.494964599609375,384,304,448,368,416,336,64
13,GREEN,46.551265716552734,304,256,368,320,336,288,64
13,GREEN,22.057907104492188,208,288,272,352,240,320,64
13,BLUE,64.40878295898438,304,176,368,240,336,208,64
14,RED,125.90522003173828,384,176,448,240,416,208,64
14,RED,58.25727081298828,384,304,448,368,416,336,64
14,GREEN,45.92836380004883,304,256,368,320,336,288,64
14,GREEN,21.401803970336914,208,272,272,336,240,304,64
14,BLUE,64.2477035522461,304,176,368,240,336,208,64
15,RED,126.04779815673828,384,176,448,240,416,208,64
15,RED,58.300140380859375,384,304,448,368,416,336,64
15,GREEN,46.49252700805664,304,256,368,320,336,288,64
15,GREEN,21.684907913208008,208,272,272,336,240,304,64
15,BLUE,64.3182601928711,304,176,368,240,336,208,64
16,RED,125.8282699584961,384,176,448,240,416,208,64
16,RED,58.14775085449219,384,304,448,368,416,336,64
16,GREEN,46.06376647949219,304,256,368,320,336,288,64
16,GREEN,21.43495750427246,208,288,272,352,240,320,64
16,BLUE,64.40453338623047,304,176,368,240,336,208,64
