frame,label,score,x1,y1,x2,y2,cx,cy,patch
0,RED,116.42431640625,336,256,400,320,368,288,64
0,RED,111.75043487548828,208,336,272,400,240,368,64
0,GREEN,36.43207550048828,272,288,336,352,304,320,64
0,GREEN,31.260494232177734,272,176,336,240,304,208,64
0,BLUE,79.8819808959961,256,224,320,288,288,256,64
1,RED,116.674072265625,336,256,400,320,368,288,64
1,RED,111.74447631835938,208,336,272,400,240,368,64
1,GREEN,36.54896926879883,272,288,336,352,304,320,64
1,GREEN,31.247652053833008,272,176,336,240,304,208,64
1,BLUE,79.4095687866211,256,224,320,288,288,256,64
2,RED,116.5357894897461,336,256,400,320,368,288,64
2,RED,111.95858764648438,208,336,272,400,240,368,64
2,GREEN,36.99418640136719,272,288,336,352,304,320,64
2,GREEN,31.518451690673828,272,176,336,240,304,208,64
2,BLUE,79.25077819824219,256,224,320,288,288,256,64
3,RED,116.170654296875,336,256,400,320,368,288,64
3,RED,111.42621612548828,208,336,272,400,240,368,64
3,GREEN,36.57660675048828,272,288,336,352,304,320,64
3,GREEN,31.092329025268555,272,176,336,240,304,208,64
3,BLUE,79.08818054199219,256,224,320,288,288,256,64
4,RED,116.16645050048828,336,256,400,320,368,288,64
4,RED,111.5863265991211,208,336,272,400,240,368,64
4,GREEN,36.743404388427734,272,288,336,352,304,320,64
4,GREEN,31.1000919342041,272,176,336,240,304,208,64
4,BLUE,79.13134002685547,256,224,320,288,288,256,64
5,RED,116.20951843261719,336,256,400,320,368,288,64
5,RED,111.43759155273438,208,336,272,400,240,368,64
5,GREEN,36.538814544677734,272,288,336,352,304,320,64
5,GREEN,31.00263214111328,272,176,336,240,304,208,64
5,BLUE,79.05072784423828,256,224,320,288,288,256,64
6,RED,116.4716796875,336,256,400,320,368,288,64
6,RED,111.60492706298828,208,336,272,400,240,368,64
6,GREEN,36.99760437011719,272,288,336,352,304,320,64
6,GREEN,31.41010284423828,272,176,336,240,304,208,64
6,BLUE,79.38359069824219,256,224,320,288,288,256,64
7,RED,116.082763671875,336,256,400,320,368,288,64
7,RED,111.22777557373047,208,336,272,400,240,368,64
7,GREEN,36.644134521484375,272,288,336,352,304,320,64
7,GREEN,31.17250633239746,272,176,336,240,304,208,64
7,BLUE,79.23656463623047,272,224,336,288,304,256,64
8,RED,116.03373718261719,336,256,400,320,368,288,64
